"Chronic Absenteeism, 2017-18"
"All Districts, English Learner Status"

"",,,"Chronically Absent",
"East Haddam School District","=""0410011""","Non-ELL",67,6.7
"East Hampton School District","=""0420011""","ELL",0,"*"
"East Hampton School District","=""0420011""","Non-ELL",113,"*"
"East Hartford School District","=""0430011""","ELL",161,19.6
"East Hartford School District","=""0430011""","Non-ELL",926,15.9
"East Haven School District","=""0440011""","ELL",31,13.2
"East Haven School District","=""0440011""","Non-ELL",374,15.0
"East Lyme School District","=""0450011""","ELL","*","*"
"East Lyme School District","=""0450011""","Non-ELL","*","*"
"East Windsor School District","=""0470011""","ELL",7,16.7
"East Windsor School District","=""0470011""","Non-ELL",120,12.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL",7,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL",142,"*"
"Eastford School District","=""0390011""","Non-ELL","*","*"
"Easton School District","=""0460011""","ELL","*","*"
"Easton School District","=""0460011""","Non-ELL","*","*"
"EdAdvance","=""2420014""","Non-ELL",22,44.0
"Ellington School District","=""0480011""","ELL",6,10.9
"Ellington School District","=""0480011""","Non-ELL",166,6.4
"Elm City College Preparatory School District","=""2890013""","ELL",0,0.0
"Elm City College Preparatory School District","=""2890013""","Non-ELL",49,7.0
"Elm City Montessori School District","=""2910013""","ELL","*","*"
"Elm City Montessori School District","=""2910013""","Non-ELL","*","*"
"Enfield School District","=""0490011""","ELL",21,18.9
"Enfield School District","=""0490011""","Non-ELL",534,11.1
"Essex School District","=""0500011""","ELL","*","*"
"Essex School District","=""0500011""","Non-ELL","*","*"
"Explorations District","=""2720013""","Non-ELL",33,37.5
"Fairfield School District","=""0510011""","ELL",36,13.4
"Fairfield School District","=""0510011""","Non-ELL",486,5.1
"Farmington School District","=""0520011""","ELL",12,7.0
"Farmington School District","=""0520011""","Non-ELL",185,4.8
"Franklin School District","=""0530011""","Non-ELL","*","*"
"Glastonbury School District","=""0540011""","ELL",10,8.5
"Glastonbury School District","=""0540011""","Non-ELL",173,3.0
"Granby School District","=""0560011""","ELL","*","*"
"Granby School District","=""0560011""","Non-ELL","*","*"
"Great Oaks Charter School District","=""2940013""","ELL",12,22.6
"Great Oaks Charter School District","=""2940013""","Non-ELL",52,17.2
"Greenwich School District","=""0570011""","ELL",12,2.8
"Greenwich School District","=""0570011""","Non-ELL",395,4.7
"Griswold School District","=""0580011""","ELL","*","*"
"Griswold School District","=""0580011""","Non-ELL","*","*"
"Groton School District","=""0590011""","ELL",31,23.5
"Groton School District","=""0590011""","Non-ELL",438,11.2
"Guilford School District","=""0600011""","ELL","*","*"
"Guilford School District","=""0600011""","Non-ELL","*","*"
"Hamden School District","=""0620011""","ELL",72,19.0
"Hamden School District","=""0620011""","Non-ELL",713,14.7
"Hampton School District","=""0630011""","Non-ELL",7,8.6
"Hartford School District","=""0640011""","ELL",1406,32.8
"Hartford School District","=""0640011""","Non-ELL",3385,23.1
"Hartland School District","=""0650011""","ELL",0,"*"
"Hartland School District","=""0650011""","Non-ELL","*","*"
"Hebron School District","=""0670011""","ELL",0,"*"
"Hebron School District","=""0670011""","Non-ELL",17,"*"
"Highville Charter School District","=""2860013""","ELL",0,"*"
"Highville Charter School District","=""2860013""","Non-ELL",40,"*"
"Integrated Day Charter School District","=""2640013""","ELL",0,0.0
"Integrated Day Charter School District","=""2640013""","Non-ELL",13,4.9
"Interdistrict School for Arts and Comm District","=""2650013""","ELL","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Non-ELL","*","*"
"Jumoke Academy District","=""2610013""","Non-ELL",69,10.1
"Kent School District","=""0680011""","ELL",0,"*"
"Kent School District","=""0680011""","Non-ELL",9,"*"
"Killingly School District","=""0690011""","ELL","*","*"
"Killingly School District","=""0690011""","Non-ELL","*","*"
"Learn","=""2450014""","ELL",60,26.7
"Learn","=""2450014""","Non-ELL",277,16.4
"Lebanon School District","=""0710011""","ELL","*","*"
"Lebanon School District","=""0710011""","Non-ELL","*","*"
"Ledyard School District","=""0720011""","ELL","*","*"
"Ledyard School District","=""0720011""","Non-ELL","*","*"
"Lisbon School District","=""0730011""","ELL","*","*"
"Lisbon School District","=""0730011""","Non-ELL","*","*"
"Litchfield School District","=""0740011""","ELL",0,"*"
"Litchfield School District","=""0740011""","Non-ELL",40,"*"
"Madison School District","=""0760011""","ELL","*","*"
"Madison School District","=""0760011""","Non-ELL","*","*"
"Manchester School District","=""0770011""","ELL",94,21.9
"Manchester School District","=""0770011""","Non-ELL",1052,19.0
"Mansfield School District","=""0780011""","ELL","*","*"
"Mansfield School District","=""0780011""","Non-ELL","*","*"
"Marlborough School District","=""0790011""","ELL","*","*"
"Marlborough School District","=""0790011""","Non-ELL","*","*"
"Meriden School District","=""0800011""","ELL",217,17.0
"Meriden School District","=""0800011""","Non-ELL",976,14.8
"Middletown School District","=""0830011""","ELL",15,8.5
"Middletown School District","=""0830011""","Non-ELL",418,9.8
"Milford School District","=""0840011""","ELL",13,8.7
"Milford School District","=""0840011""","Non-ELL",425,7.9
"Monroe School District","=""0850011""","ELL","*","*"
"Monroe School District","=""0850011""","Non-ELL","*","*"
"Montville School District","=""0860011""","ELL",8,8.8
"Montville School District","=""0860011""","Non-ELL",171,8.4
"NOTSET","=""0000000""","ELL",6904,16.8
"NOTSET","=""0000000""","Non-ELL",48480,10.2
"Naugatuck School District","=""0880011""","ELL",32,12.0
"Naugatuck School District","=""0880011""","Non-ELL",496,12.9
"New Beginnings Inc Family Academy District","=""2800013""","ELL",0,"*"
"New Beginnings Inc Family Academy District","=""2800013""","Non-ELL",57,"*"
"New Britain School District","=""0890011""","ELL",539,31.3
"New Britain School District","=""0890011""","Non-ELL",1635,20.3
"New Canaan School District","=""0900011""","ELL","*","*"
"New Canaan School District","=""0900011""","Non-ELL","*","*"
"New Fairfield School District","=""0910011""","ELL","*","*"
"New Fairfield School District","=""0910011""","Non-ELL","*","*"
"New Hartford School District","=""0920011""","ELL",0,"*"
"New Hartford School District","=""0920011""","Non-ELL",14,"*"
"New Haven School District","=""0930011""","ELL",639,17.8
"New Haven School District","=""0930011""","Non-ELL",3314,20.4
"New London School District","=""0950011""","ELL",153,18.1
"New London School District","=""0950011""","Non-ELL",455,16.5
"New Milford School District","=""0960011""","ELL",11,7.3
"New Milford School District","=""0960011""","Non-ELL",310,8.1
"Newington School District","=""0940011""","ELL",18,7.7
"Newington School District","=""0940011""","Non-ELL",239,6.3
"Newtown School District","=""0970011""","ELL","*","*"
"Newtown School District","=""0970011""","Non-ELL","*","*"
"Norfolk School District","=""0980011""","ELL",0,"*"
"Norfolk School District","=""0980011""","Non-ELL",9,"*"
"North Branford School District","=""0990011""","ELL","*","*"
"North Branford School District","=""0990011""","Non-ELL","*","*"
"North Canaan School District","=""1000011""","ELL","*","*"
"North Canaan School District","=""1000011""","Non-ELL","*","*"
"North Haven School District","=""1010011""","ELL",9,10.0
"North Haven School District","=""1010011""","Non-ELL",164,5.4
"North Stonington School District","=""1020011""","ELL","*","*"
"North Stonington School District","=""1020011""","Non-ELL","*","*"
"Norwalk School District","=""1030011""","ELL",238,12.7
"Norwalk School District","=""1030011""","Non-ELL",971,10.2
"Norwich Free Academy District","=""9010022""","ELL",33,20.9
"Norwich Free Academy District","=""9010022""","Non-ELL",349,16.5
"Norwich School District","=""1040011""","ELL",79,11.9
"Norwich School District","=""1040011""","Non-ELL",375,13.8
"Odyssey Community School District","=""2630013""","ELL","*","*"
"Odyssey Community School District","=""2630013""","Non-ELL","*","*"
"Old Saybrook School District","=""1060011""","ELL","*","*"
"Old Saybrook School District","=""1060011""","Non-ELL","*","*"
"Orange School District","=""1070011""","ELL",7,8.1
"Orange School District","=""1070011""","Non-ELL",37,3.5
"Oxford School District","=""1080011""","ELL","*","*"
"Oxford School District","=""1080011""","Non-ELL","*","*"
"Park City Prep Charter School District","=""2830013""","ELL","*","*"
"Park City Prep Charter School District","=""2830013""","Non-ELL","*","*"
"Path Academy District","=""2930013""","ELL",21,100.0
"Path Academy District","=""2930013""","Non-ELL",86,100.0
"Plainfield School District","=""1090011""","ELL",13,35.1
"Plainfield School District","=""1090011""","Non-ELL",294,13.9
"Plainville School District","=""1100011""","ELL",14,10.0
"Plainville School District","=""1100011""","Non-ELL",194,9.3
"Plymouth School District","=""1110011""","ELL","*","*"
"Plymouth School District","=""1110011""","Non-ELL","*","*"
"Pomfret School District","=""1120011""","ELL","*","*"
"Pomfret School District","=""1120011""","Non-ELL","*","*"
"Portland School District","=""1130011""","ELL","*","*"
"Portland School District","=""1130011""","Non-ELL","*","*"
"Preston School District","=""1140011""","ELL","*","*"
"Preston School District","=""1140011""","Non-ELL","*","*"
"Putnam School District","=""1160011""","ELL",7,14.6
"Putnam School District","=""1160011""","Non-ELL",134,12.9
"Redding School District","=""1170011""","ELL","*","*"
"Redding School District","=""1170011""","Non-ELL","*","*"
"Regional School District 01","=""2010012""","ELL","*","*"
"Regional School District 01","=""2010012""","Non-ELL","*","*"
"Regional School District 04","=""2040012""","ELL","*","*"
"Regional School District 04","=""2040012""","Non-ELL","*","*"
"Regional School District 05","=""2050012""","ELL","*","*"
"Regional School District 05","=""2050012""","Non-ELL","*","*"
"Regional School District 06","=""2060012""","ELL","*","*"
"Regional School District 06","=""2060012""","Non-ELL","*","*"
"Regional School District 07","=""2070012""","Non-ELL",57,5.3
"Regional School District 08","=""2080012""","ELL",0,"*"
"Regional School District 08","=""2080012""","Non-ELL",107,"*"
"Regional School District 09","=""2090012""","ELL",0,"*"
"Regional School District 09","=""2090012""","Non-ELL",79,"*"
"Regional School District 10","=""2100012""","ELL","*","*"
"Regional School District 10","=""2100012""","Non-ELL","*","*"
"Regional School District 11","=""2110012""","ELL",0,"*"
"Regional School District 11","=""2110012""","Non-ELL",20,"*"
"Regional School District 12","=""2120012""","ELL",0,"*"
"Regional School District 12","=""2120012""","Non-ELL",57,"*"
"Regional School District 13","=""2130012""","ELL","*","*"
"Regional School District 13","=""2130012""","Non-ELL","*","*"
"Regional School District 14","=""2140012""","ELL","*","*"
"Regional School District 14","=""2140012""","Non-ELL","*","*"
"Regional School District 15","=""2150012""","ELL","*","*"
"Regional School District 15","=""2150012""","Non-ELL","*","*"
"Regional School District 16","=""2160012""","ELL","*","*"
"Regional School District 16","=""2160012""","Non-ELL","*","*"
"Regional School District 17","=""2170012""","ELL","*","*"
"Regional School District 17","=""2170012""","Non-ELL","*","*"
"Regional School District 18","=""2180012""","ELL",0,"*"
"Regional School District 18","=""2180012""","Non-ELL",80,"*"
"Regional School District 19","=""2190012""","ELL","*","*"
"Regional School District 19","=""2190012""","Non-ELL","*","*"
"Ridgefield School District","=""1180011""","ELL",6,10.3
"Ridgefield School District","=""1180011""","Non-ELL",300,6.2
"Rocky Hill School District","=""1190011""","ELL",7,3.2
"Rocky Hill School District","=""1190011""","Non-ELL",114,4.7
"Salem School District","=""1210011""","ELL",0,"*"
"Salem School District","=""1210011""","Non-ELL",10,"*"
"Salisbury School District","=""1220011""","ELL",0,"*"
"Salisbury School District","=""1220011""","Non-ELL",21,"*"
"Scotland School District","=""1230011""","Non-ELL","*","*"
"Seymour School District","=""1240011""","ELL",7,11.1
"Seymour School District","=""1240011""","Non-ELL",199,9.5
"Sharon School District","=""1250011""","ELL",0,"*"
"Sharon School District","=""1250011""","Non-ELL",10,"*"
"Shelton School District","=""1260011""","ELL",21,8.6
"Shelton School District","=""1260011""","Non-ELL",451,10.2
"Sherman School District","=""1270011""","ELL",0,"*"
"Sherman School District","=""1270011""","Non-ELL",16,"*"
"Side By Side Charter School District","=""2700013""","ELL","*","*"
"Side By Side Charter School District","=""2700013""","Non-ELL","*","*"
"Simsbury School District","=""1280011""","ELL","*","*"
"Simsbury School District","=""1280011""","Non-ELL","*","*"
"Somers School District","=""1290011""","ELL","*","*"
"Somers School District","=""1290011""","Non-ELL","*","*"
"South Windsor School District","=""1320011""","ELL",15,6.4
"South Windsor School District","=""1320011""","Non-ELL",208,5.2
"Southington School District","=""1310011""","ELL",7,6.5
"Southington School District","=""1310011""","Non-ELL",346,5.5
"Sprague School District","=""1330011""","ELL",0,"*"
"Sprague School District","=""1330011""","Non-ELL",26,"*"
"Stafford School District","=""1340011""","ELL",0,"*"
"Stafford School District","=""1340011""","Non-ELL",146,"*"
"Stamford Academy District","=""2820013""","ELL","*","*"
"Stamford Academy District","=""2820013""","Non-ELL","*","*"
"Stamford Charter School for Excellence District","=""2960013""","ELL","*","*"
"Stamford Charter School for Excellence District","=""2960013""","Non-ELL","*","*"
"Stamford School District","=""1350011""","ELL",303,13.6
"Stamford School District","=""1350011""","Non-ELL",1374,10.2
"Sterling School District","=""1360011""","Non-ELL",38,10.6
"Stonington School District","=""1370011""","ELL","*","*"
"Stonington School District","=""1370011""","Non-ELL","*","*"
"Stratford School District","=""1380011""","ELL",57,13.6
"Stratford School District","=""1380011""","Non-ELL",803,12.8
"Suffield School District","=""1390011""","ELL","*","*"
"Suffield School District","=""1390011""","Non-ELL","*","*"
"The Bridge Academy District","=""2690013""","ELL","*","*"
"The Bridge Academy District","=""2690013""","Non-ELL","*","*"
"The Gilbert School District","=""9020022""","ELL",0,"*"
"The Gilbert School District","=""9020022""","Non-ELL",7,"*"
"The Woodstock Academy District","=""9030022""","Non-ELL",76,7.0
"Thomaston School District","=""1400011""","ELL",0,"*"
"Thomaston School District","=""1400011""","Non-ELL",71,"*"
"Thompson School District","=""1410011""","ELL","*","*"
"Thompson School District","=""1410011""","Non-ELL","*","*"
"Tolland School District","=""1420011""","ELL",0,"*"
"Tolland School District","=""1420011""","Non-ELL",109,"*"
"Torrington School District","=""1430011""","ELL",36,8.8
"Torrington School District","=""1430011""","Non-ELL",496,14.0
"Trailblazers Academy District","=""2780013""","ELL","*","*"
"Trailblazers Academy District","=""2780013""","Non-ELL","*","*"
"Trumbull School District","=""1440011""","ELL",12,8.1
"Trumbull School District","=""1440011""","Non-ELL",271,4.2
"Unified School District #1","=""3360015""","ELL","*","*"
"Unified School District #1","=""3360015""","Non-ELL","*","*"
"Unified School District #2","=""3470015""","ELL",0,"*"
"Unified School District #2","=""3470015""","Non-ELL","*","*"
"Union School District","=""1450011""","Non-ELL","*","*"
"Vernon School District","=""1460011""","ELL",12,12.5
"Vernon School District","=""1460011""","Non-ELL",241,8.4
"Voluntown School District","=""1470011""","Non-ELL",15,6.0
"Wallingford School District","=""1480011""","ELL",28,8.0
"Wallingford School District","=""1480011""","Non-ELL",330,6.2
"Waterbury School District","=""1510011""","ELL",605,21.9
"Waterbury School District","=""1510011""","Non-ELL",2698,17.6
"Waterford School District","=""1520011""","ELL",7,11.9
"Waterford School District","=""1520011""","Non-ELL",172,7.0
"Watertown School District","=""1530011""","ELL",6,6.2
"Watertown School District","=""1530011""","Non-ELL",308,11.7
"West Hartford School District","=""1550011""","ELL",85,14.5
"West Hartford School District","=""1550011""","Non-ELL",498,5.6
"West Haven School District","=""1560011""","ELL",71,8.5
"West Haven School District","=""1560011""","Non-ELL",602,12.2
"Westbrook School District","=""1540011""","ELL","*","*"
"Westbrook School District","=""1540011""","Non-ELL","*","*"
"Weston School District","=""1570011""","ELL",0,0.0
"Weston School District","=""1570011""","Non-ELL",98,4.3
"Westport School District","=""1580011""","ELL",11,15.3
"Westport School District","=""1580011""","Non-ELL",711,13.0
"Wethersfield School District","=""1590011""","ELL",33,10.2
"Wethersfield School District","=""1590011""","Non-ELL",110,3.4
"Willington School District","=""1600011""","ELL","*","*"
"Willington School District","=""1600011""","Non-ELL","*","*"
"Wilton School District","=""1610011""","ELL","*","*"
"Wilton School District","=""1610011""","Non-ELL","*","*"
"Winchester School District","=""1620011""","ELL","*","*"
"Winchester School District","=""1620011""","Non-ELL","*","*"
"Windham School District","=""1630011""","ELL",149,15.9
"Windham School District","=""1630011""","Non-ELL",282,12.9
"Windsor Locks School District","=""1650011""","ELL",11,13.8
"Windsor Locks School District","=""1650011""","Non-ELL",172,12.3
"Windsor School District","=""1640011""","ELL",10,7.9
"Windsor School District","=""1640011""","Non-ELL",233,7.6
"Wolcott School District","=""1660011""","ELL","*","*"
"Wolcott School District","=""1660011""","Non-ELL","*","*"
"Woodbridge School District","=""1670011""","ELL","*","*"
"Woodbridge School District","=""1670011""","Non-ELL","*","*"
"Woodstock School District","=""1690011""","ELL","*","*"
"Woodstock School District","=""1690011""","Non-ELL","*","*"

