"Chronic Absenteeism, 2016-17"
"All Districts, English Learner Status"

"District","District Code","English Learner Status","% Chronically Absent"
"Clinton School District","=""0270011""","ELL",10.2
"Clinton School District","=""0270011""","Non-ELL",6.0
"Colchester School District","=""0280011""","ELL",0.0
"Colchester School District","=""0280011""","Non-ELL",5.7
"Colebrook School District","=""0290011""","Non-ELL","*"
"Columbia School District","=""0300011""","ELL","*"
"Columbia School District","=""0300011""","Non-ELL","*"
"Common Ground High School District","=""2680013""","ELL","*"
"Common Ground High School District","=""2680013""","Non-ELL","*"
"Connecticut Technical High School System","=""9000016""","ELL",12.1
"Connecticut Technical High School System","=""9000016""","Non-ELL",12.5
"Cooperative Educational Services","=""2430014""","ELL","*"
"Cooperative Educational Services","=""2430014""","Non-ELL","*"
"Cornwall School District","=""0310011""","ELL","*"
"Cornwall School District","=""0310011""","Non-ELL","*"
"Coventry School District","=""0320011""","ELL","*"
"Coventry School District","=""0320011""","Non-ELL","*"
"Cromwell School District","=""0330011""","ELL",0.0
"Cromwell School District","=""0330011""","Non-ELL",1.8
"Danbury School District","=""0340011""","ELL",6.7
"Danbury School District","=""0340011""","Non-ELL",7.4
"Darien School District","=""0350011""","ELL","*"
"Darien School District","=""0350011""","Non-ELL","*"
"Deep River School District","=""0360011""","ELL","*"
"Deep River School District","=""0360011""","Non-ELL","*"
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*"
"Derby School District","=""0370011""","ELL",11.3
"Derby School District","=""0370011""","Non-ELL",12.8
"East Granby School District","=""0400011""","ELL","*"
"East Granby School District","=""0400011""","Non-ELL","*"
"East Haddam School District","=""0410011""","ELL","*"
"East Haddam School District","=""0410011""","Non-ELL","*"
"East Hampton School District","=""0420011""","ELL","*"
"East Hampton School District","=""0420011""","Non-ELL","*"
"East Hartford School District","=""0430011""","ELL",14.2
"East Hartford School District","=""0430011""","Non-ELL",14.0
"East Haven School District","=""0440011""","ELL",9.5
"East Haven School District","=""0440011""","Non-ELL",16.2
"East Lyme School District","=""0450011""","ELL",14.3
"East Lyme School District","=""0450011""","Non-ELL",4.4
"East Windsor School District","=""0470011""","ELL",0.0
"East Windsor School District","=""0470011""","Non-ELL",12.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL","*"
"Eastford School District","=""0390011""","Non-ELL","*"
"Easton School District","=""0460011""","ELL","*"
"Easton School District","=""0460011""","Non-ELL","*"
"EdAdvance","=""2420014""","Non-ELL",61.9
"Ellington School District","=""0480011""","ELL",16.1
"Ellington School District","=""0480011""","Non-ELL",6.0
"Elm City College Preparatory School District","=""2890013""","ELL","*"
"Elm City College Preparatory School District","=""2890013""","Non-ELL","*"
"Elm City Montessori School District","=""2910013""","ELL","*"
"Elm City Montessori School District","=""2910013""","Non-ELL","*"
"Enfield School District","=""0490011""","ELL",11.6
"Enfield School District","=""0490011""","Non-ELL",10.0
"Essex School District","=""0500011""","ELL","*"
"Essex School District","=""0500011""","Non-ELL","*"
"Explorations District","=""2720013""","Non-ELL",28.8
"Fairfield School District","=""0510011""","ELL",7.7
"Fairfield School District","=""0510011""","Non-ELL",5.1
"Farmington School District","=""0520011""","ELL",6.4
"Farmington School District","=""0520011""","Non-ELL",4.4
"Franklin School District","=""0530011""","ELL","*"
"Franklin School District","=""0530011""","Non-ELL","*"
"Glastonbury School District","=""0540011""","ELL",6.4
"Glastonbury School District","=""0540011""","Non-ELL",3.3
"Granby School District","=""0560011""","ELL","*"
"Granby School District","=""0560011""","Non-ELL","*"
"Great Oaks Charter School District","=""2940013""","ELL","*"
"Great Oaks Charter School District","=""2940013""","Non-ELL","*"
"Greenwich School District","=""0570011""","ELL",3.2
"Greenwich School District","=""0570011""","Non-ELL",3.9
"Griswold School District","=""0580011""","ELL","*"
"Griswold School District","=""0580011""","Non-ELL","*"
"Groton School District","=""0590011""","ELL",9.1
"Groton School District","=""0590011""","Non-ELL",11.3
"Guilford School District","=""0600011""","ELL","*"
"Guilford School District","=""0600011""","Non-ELL","*"
"Hamden School District","=""0620011""","ELL",12.7
"Hamden School District","=""0620011""","Non-ELL",12.7
"Hampton School District","=""0630011""","Non-ELL",6.9
"Hartford School District","=""0640011""","ELL",29.1
"Hartford School District","=""0640011""","Non-ELL",20.3
"Hartland School District","=""0650011""","Non-ELL","*"
"Hebron School District","=""0670011""","ELL","*"
"Hebron School District","=""0670011""","Non-ELL","*"
"Highville Charter School District","=""2860013""","ELL","*"
"Highville Charter School District","=""2860013""","Non-ELL","*"
"Integrated Day Charter School District","=""2640013""","ELL","*"
"Integrated Day Charter School District","=""2640013""","Non-ELL","*"
"Interdistrict School for Arts and Comm District","=""2650013""","ELL","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Non-ELL","*"
"Jumoke Academy District","=""2610013""","Non-ELL",14.0
"Kent School District","=""0680011""","ELL","*"
"Kent School District","=""0680011""","Non-ELL","*"
"Killingly School District","=""0690011""","ELL",20.4
"Killingly School District","=""0690011""","Non-ELL",14.8
"Learn","=""2450014""","ELL",16.8
"Learn","=""2450014""","Non-ELL",16.2
"Lebanon School District","=""0710011""","ELL","*"
"Lebanon School District","=""0710011""","Non-ELL","*"
"Ledyard School District","=""0720011""","ELL",0.0
"Ledyard School District","=""0720011""","Non-ELL",5.6
"Lisbon School District","=""0730011""","ELL","*"
"Lisbon School District","=""0730011""","Non-ELL","*"
"Litchfield School District","=""0740011""","ELL","*"
"Litchfield School District","=""0740011""","Non-ELL","*"
"Madison School District","=""0760011""","ELL",0.0
"Madison School District","=""0760011""","Non-ELL",3.3
"Manchester School District","=""0770011""","ELL",18.0
"Manchester School District","=""0770011""","Non-ELL",16.8
"Mansfield School District","=""0780011""","ELL","*"
"Mansfield School District","=""0780011""","Non-ELL","*"
"Marlborough School District","=""0790011""","ELL","*"
"Marlborough School District","=""0790011""","Non-ELL","*"
"Meriden School District","=""0800011""","ELL",16.8
"Meriden School District","=""0800011""","Non-ELL",15.1
"Middletown School District","=""0830011""","ELL",11.2
"Middletown School District","=""0830011""","Non-ELL",9.0
"Milford School District","=""0840011""","ELL",6.8
"Milford School District","=""0840011""","Non-ELL",7.6
"Monroe School District","=""0850011""","ELL","*"
"Monroe School District","=""0850011""","Non-ELL","*"
"Montville School District","=""0860011""","ELL","*"
"Montville School District","=""0860011""","Non-ELL","*"
"Naugatuck School District","=""0880011""","ELL",10.8
"Naugatuck School District","=""0880011""","Non-ELL",11.3
"New Beginnings Inc Family Academy District","=""2800013""","Non-ELL",10.3
"New Britain School District","=""0890011""","ELL",25.7
"New Britain School District","=""0890011""","Non-ELL",19.0
"New Canaan School District","=""0900011""","ELL",0.0
"New Canaan School District","=""0900011""","Non-ELL",4.0
"New Fairfield School District","=""0910011""","ELL","*"
"New Fairfield School District","=""0910011""","Non-ELL","*"
"New Hartford School District","=""0920011""","ELL","*"
"New Hartford School District","=""0920011""","Non-ELL","*"
"New Haven School District","=""0930011""","ELL",17.3
"New Haven School District","=""0930011""","Non-ELL",18.5
"New London School District","=""0950011""","ELL",17.0
"New London School District","=""0950011""","Non-ELL",16.1
"New Milford School District","=""0960011""","ELL",15.8
"New Milford School District","=""0960011""","Non-ELL",6.3
"Newington School District","=""0940011""","ELL",5.2
"Newington School District","=""0940011""","Non-ELL",6.5
"Newtown School District","=""0970011""","ELL","*"
"Newtown School District","=""0970011""","Non-ELL","*"
"Norfolk School District","=""0980011""","Non-ELL","*"
"North Branford School District","=""0990011""","ELL","*"
"North Branford School District","=""0990011""","Non-ELL","*"
"North Canaan School District","=""1000011""","ELL","*"
"North Canaan School District","=""1000011""","Non-ELL","*"
"North Haven School District","=""1010011""","ELL","*"
"North Haven School District","=""1010011""","Non-ELL","*"
"North Stonington School District","=""1020011""","ELL","*"
"North Stonington School District","=""1020011""","Non-ELL","*"
"Norwalk School District","=""1030011""","ELL",7.8
"Norwalk School District","=""1030011""","Non-ELL",8.6
"Norwich Free Academy District","=""9010022""","ELL",21.4
"Norwich Free Academy District","=""9010022""","Non-ELL",14.2
"Norwich School District","=""1040011""","ELL",8.7
"Norwich School District","=""1040011""","Non-ELL",13.1
"Odyssey Community School District","=""2630013""","ELL","*"
"Odyssey Community School District","=""2630013""","Non-ELL","*"
"Old Saybrook School District","=""1060011""","ELL",0.0
"Old Saybrook School District","=""1060011""","Non-ELL",5.4
"Orange School District","=""1070011""","ELL","*"
"Orange School District","=""1070011""","Non-ELL","*"
"Oxford School District","=""1080011""","ELL","*"
"Oxford School District","=""1080011""","Non-ELL","*"
"Park City Prep Charter School District","=""2830013""","ELL","*"
"Park City Prep Charter School District","=""2830013""","Non-ELL","*"
"Path Academy District","=""2930013""","ELL",100.0
"Path Academy District","=""2930013""","Non-ELL",100.0
"Plainfield School District","=""1090011""","ELL",28.6
"Plainfield School District","=""1090011""","Non-ELL",11.9
"Plainville School District","=""1100011""","ELL",7.8
"Plainville School District","=""1100011""","Non-ELL",10.4
"Plymouth School District","=""1110011""","ELL","*"
"Plymouth School District","=""1110011""","Non-ELL","*"
"Pomfret School District","=""1120011""","ELL","*"
"Pomfret School District","=""1120011""","Non-ELL","*"
"Portland School District","=""1130011""","ELL",0.0
"Portland School District","=""1130011""","Non-ELL",4.9
"Preston School District","=""1140011""","ELL","*"
"Preston School District","=""1140011""","Non-ELL","*"
"Putnam School District","=""1160011""","ELL",20.9
"Putnam School District","=""1160011""","Non-ELL",15.3
"Redding School District","=""1170011""","ELL","*"
"Redding School District","=""1170011""","Non-ELL","*"
"Regional School District 01","=""2010012""","ELL","*"
"Regional School District 01","=""2010012""","Non-ELL","*"
"Regional School District 04","=""2040012""","ELL","*"
"Regional School District 04","=""2040012""","Non-ELL","*"
"Regional School District 05","=""2050012""","ELL","*"
"Regional School District 05","=""2050012""","Non-ELL","*"
"Regional School District 06","=""2060012""","ELL","*"
"Regional School District 06","=""2060012""","Non-ELL","*"
"Regional School District 07","=""2070012""","Non-ELL",4.5
"Regional School District 08","=""2080012""","ELL","*"
"Regional School District 08","=""2080012""","Non-ELL","*"
"Regional School District 09","=""2090012""","ELL","*"
"Regional School District 09","=""2090012""","Non-ELL","*"
"Regional School District 10","=""2100012""","ELL","*"
"Regional School District 10","=""2100012""","Non-ELL","*"
"Regional School District 11","=""2110012""","ELL","*"
"Regional School District 11","=""2110012""","Non-ELL","*"
"Regional School District 12","=""2120012""","ELL","*"
"Regional School District 12","=""2120012""","Non-ELL","*"
"Regional School District 13","=""2130012""","ELL","*"
"Regional School District 13","=""2130012""","Non-ELL","*"
"Regional School District 14","=""2140012""","ELL","*"
"Regional School District 14","=""2140012""","Non-ELL","*"
"Regional School District 15","=""2150012""","ELL","*"
"Regional School District 15","=""2150012""","Non-ELL","*"
"Regional School District 16","=""2160012""","ELL","*"
"Regional School District 16","=""2160012""","Non-ELL","*"
"Regional School District 17","=""2170012""","ELL","*"
"Regional School District 17","=""2170012""","Non-ELL","*"
"Regional School District 18","=""2180012""","ELL","*"
"Regional School District 18","=""2180012""","Non-ELL","*"
"Regional School District 19","=""2190012""","ELL","*"
"Regional School District 19","=""2190012""","Non-ELL","*"
"Ridgefield School District","=""1180011""","ELL","*"
"Ridgefield School District","=""1180011""","Non-ELL","*"
"Rocky Hill School District","=""1190011""","ELL",7.0
"Rocky Hill School District","=""1190011""","Non-ELL",6.2
"Salem School District","=""1210011""","Non-ELL",4.5
"Salisbury School District","=""1220011""","ELL","*"
"Salisbury School District","=""1220011""","Non-ELL","*"
"Scotland School District","=""1230011""","Non-ELL","*"
"Seymour School District","=""1240011""","ELL","*"
"Seymour School District","=""1240011""","Non-ELL","*"
"Sharon School District","=""1250011""","ELL","*"
"Sharon School District","=""1250011""","Non-ELL","*"
"Shelton School District","=""1260011""","ELL",11.2
"Shelton School District","=""1260011""","Non-ELL",10.3
"Sherman School District","=""1270011""","ELL","*"
"Sherman School District","=""1270011""","Non-ELL","*"
"Side By Side Charter School District","=""2700013""","ELL","*"
"Side By Side Charter School District","=""2700013""","Non-ELL","*"
"Simsbury School District","=""1280011""","ELL",9.0
"Simsbury School District","=""1280011""","Non-ELL",5.3
"Somers School District","=""1290011""","ELL","*"
"Somers School District","=""1290011""","Non-ELL","*"
"South Windsor School District","=""1320011""","ELL",4.1
"South Windsor School District","=""1320011""","Non-ELL",4.8
"Southington School District","=""1310011""","ELL","*"
"Southington School District","=""1310011""","Non-ELL","*"
"Sprague School District","=""1330011""","ELL","*"
"Sprague School District","=""1330011""","Non-ELL","*"
"Stafford School District","=""1340011""","ELL","*"
"Stafford School District","=""1340011""","Non-ELL","*"
"Stamford Academy District","=""2820013""","ELL","*"
"Stamford Academy District","=""2820013""","Non-ELL","*"
"Stamford Charter School for Excellence District","=""2960013""","Non-ELL",9.7
"Stamford School District","=""1350011""","ELL",10.9
"Stamford School District","=""1350011""","Non-ELL",8.6
"State Level","=""0000000""","ELL",14.6
"State Level","=""0000000""","Non-ELL",9.5
"Sterling School District","=""1360011""","Non-ELL",9.1
"Stonington School District","=""1370011""","ELL","*"
"Stonington School District","=""1370011""","Non-ELL","*"
"Stratford School District","=""1380011""","ELL",9.5
"Stratford School District","=""1380011""","Non-ELL",11.0
"Suffield School District","=""1390011""","ELL",0.0
"Suffield School District","=""1390011""","Non-ELL",5.3
"The Bridge Academy District","=""2690013""","ELL","*"
"The Bridge Academy District","=""2690013""","Non-ELL","*"
"The Gilbert School District","=""9020022""","ELL","*"
"The Gilbert School District","=""9020022""","Non-ELL","*"
"Thomaston School District","=""1400011""","ELL","*"
"Thomaston School District","=""1400011""","Non-ELL","*"
"Thompson School District","=""1410011""","ELL","*"
"Thompson School District","=""1410011""","Non-ELL","*"
"Tolland School District","=""1420011""","ELL","*"
"Tolland School District","=""1420011""","Non-ELL","*"
"Torrington School District","=""1430011""","ELL",7.8
"Torrington School District","=""1430011""","Non-ELL",12.7
"Trailblazers Academy District","=""2780013""","ELL","*"
"Trailblazers Academy District","=""2780013""","Non-ELL","*"
"Trumbull School District","=""1440011""","ELL",11.0
"Trumbull School District","=""1440011""","Non-ELL",4.2
"Unified School District #1","=""3360015""","ELL","*"
"Unified School District #1","=""3360015""","Non-ELL","*"
"Unified School District #2","=""3470015""","ELL","*"
"Unified School District #2","=""3470015""","Non-ELL","*"
"Union School District","=""1450011""","Non-ELL","*"
"Vernon School District","=""1460011""","ELL",9.3
"Vernon School District","=""1460011""","Non-ELL",12.0
"Voluntown School District","=""1470011""","Non-ELL",4.6
"Wallingford School District","=""1480011""","ELL",6.2
"Wallingford School District","=""1480011""","Non-ELL",5.7
"Waterbury School District","=""1510011""","ELL",19.3
"Waterbury School District","=""1510011""","Non-ELL",15.4
"Waterford School District","=""1520011""","ELL","*"
"Waterford School District","=""1520011""","Non-ELL","*"
"Watertown School District","=""1530011""","ELL","*"
"Watertown School District","=""1530011""","Non-ELL","*"
"West Hartford School District","=""1550011""","ELL",12.9
"West Hartford School District","=""1550011""","Non-ELL",5.8
"West Haven School District","=""1560011""","ELL",6.4
"West Haven School District","=""1560011""","Non-ELL",12.2
"Westbrook School District","=""1540011""","ELL","*"
"Westbrook School District","=""1540011""","Non-ELL","*"
"Weston School District","=""1570011""","ELL",0.0
"Weston School District","=""1570011""","Non-ELL",4.6
"Westport School District","=""1580011""","ELL","*"
"Westport School District","=""1580011""","Non-ELL","*"
"Wethersfield School District","=""1590011""","ELL",7.3
"Wethersfield School District","=""1590011""","Non-ELL",3.2
"Willington School District","=""1600011""","ELL","*"
"Willington School District","=""1600011""","Non-ELL","*"
"Wilton School District","=""1610011""","ELL",0.0
"Wilton School District","=""1610011""","Non-ELL",9.6
"Winchester School District","=""1620011""","ELL",12.5
"Winchester School District","=""1620011""","Non-ELL",7.6
"Windham School District","=""1630011""","ELL",17.8
"Windham School District","=""1630011""","Non-ELL",12.2
"Windsor Locks School District","=""1650011""","ELL","*"
"Windsor Locks School District","=""1650011""","Non-ELL","*"
"Windsor School District","=""1640011""","ELL",7.1
"Windsor School District","=""1640011""","Non-ELL",9.8
"Wolcott School District","=""1660011""","ELL","*"
"Wolcott School District","=""1660011""","Non-ELL","*"
"Woodbridge School District","=""1670011""","ELL","*"
"Woodbridge School District","=""1670011""","Non-ELL","*"
"Woodstock Academy District","=""9030022""","Non-ELL",6.7
"Woodstock School District","=""1690011""","ELL","*"
"Woodstock School District","=""1690011""","Non-ELL","*"

