"Chronic Absenteeism, 2019-20"
"All Districts, English Learner Status"

"",,,"Chronically Absent",
"Canton School District","=""0230011""","ELL","*","*"
"Canton School District","=""0230011""","Non-ELL","*","*"
"Capital Preparatory Harbor School District","=""2970013""","ELL","*","*"
"Capital Preparatory Harbor School District","=""2970013""","Non-ELL","*","*"
"Capitol Region Education Council","=""2410014""","ELL",168,26.3
"Capitol Region Education Council","=""2410014""","Non-ELL",1391,20.0
"Chaplin School District","=""0240011""","ELL","*","*"
"Chaplin School District","=""0240011""","Non-ELL","*","*"
"Cheshire School District","=""0250011""","ELL",6,10.3
"Cheshire School District","=""0250011""","Non-ELL",272,6.7
"Chester School District","=""0260011""","ELL",0,"*"
"Chester School District","=""0260011""","Non-ELL","*","*"
"Clinton School District","=""0270011""","ELL",13,12.9
"Clinton School District","=""0270011""","Non-ELL",173,11.4
"Colchester School District","=""0280011""","ELL","*","*"
"Colchester School District","=""0280011""","Non-ELL","*","*"
"Colebrook School District","=""0290011""","Non-ELL",0,0.0
"Columbia School District","=""0300011""","ELL",0,"*"
"Columbia School District","=""0300011""","Non-ELL",26,"*"
"Common Ground High School District","=""2680013""","ELL",6,"*"
"Common Ground High School District","=""2680013""","Non-ELL",38,"*"
"Connecticut Technical Education and Career System","=""9000016""","ELL",71,15.1
"Connecticut Technical Education and Career System","=""9000016""","Non-ELL",1387,13.4
"Cooperative Educational Services","=""2430014""","ELL",10,26.3
"Cooperative Educational Services","=""2430014""","Non-ELL",131,20.3
"Cornwall School District","=""0310011""","ELL",0,"*"
"Cornwall School District","=""0310011""","Non-ELL","*","*"
"Coventry School District","=""0320011""","ELL",0,"*"
"Coventry School District","=""0320011""","Non-ELL",200,"*"
"Cromwell School District","=""0330011""","ELL","*","*"
"Cromwell School District","=""0330011""","Non-ELL","*","*"
"Danbury School District","=""0340011""","ELL",379,10.9
"Danbury School District","=""0340011""","Non-ELL",902,10.9
"Darien School District","=""0350011""","ELL",8,12.3
"Darien School District","=""0350011""","Non-ELL",236,5.1
"Deep River School District","=""0360011""","ELL",0,"*"
"Deep River School District","=""0360011""","Non-ELL",14,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*","*"
"Derby School District","=""0370011""","ELL",0,0.0
"Derby School District","=""0370011""","Non-ELL",191,15.8
"East Granby School District","=""0400011""","ELL",0,"*"
"East Granby School District","=""0400011""","Non-ELL",54,"*"
"East Haddam School District","=""0410011""","ELL",0,"*"
"East Haddam School District","=""0410011""","Non-ELL",74,"*"
"East Hampton School District","=""0420011""","ELL",0,"*"
"East Hampton School District","=""0420011""","Non-ELL",134,"*"
"East Hartford School District","=""0430011""","ELL",151,15.8
"East Hartford School District","=""0430011""","Non-ELL",844,15.1
"East Haven School District","=""0440011""","ELL",21,7.8
"East Haven School District","=""0440011""","Non-ELL",263,11.1
"East Lyme School District","=""0450011""","ELL","*","*"
"East Lyme School District","=""0450011""","Non-ELL","*","*"
"East Windsor School District","=""0470011""","ELL",20,28.2
"East Windsor School District","=""0470011""","Non-ELL",136,14.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL",13,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL",146,"*"
"Eastford School District","=""0390011""","Non-ELL",9,7.0
"Easton School District","=""0460011""","ELL","*","*"
"Easton School District","=""0460011""","Non-ELL","*","*"
"EdAdvance","=""2420014""","ELL",0,"*"
"EdAdvance","=""2420014""","Non-ELL",44,"*"
"Ellington School District","=""0480011""","ELL","*","*"
"Ellington School District","=""0480011""","Non-ELL","*","*"
"Elm City College Preparatory School District","=""2890013""","ELL","*","*"
"Elm City College Preparatory School District","=""2890013""","Non-ELL","*","*"
"Elm City Montessori School District","=""2910013""","ELL","*","*"
"Elm City Montessori School District","=""2910013""","Non-ELL","*","*"
"Enfield School District","=""0490011""","ELL",28,21.7
"Enfield School District","=""0490011""","Non-ELL",650,14.0
"Essex School District","=""0500011""","ELL",0,"*"
"Essex School District","=""0500011""","Non-ELL",13,"*"
"Explorations District","=""2720013""","Non-ELL",27,32.1
"Fairfield School District","=""0510011""","ELL",25,9.7
"Fairfield School District","=""0510011""","Non-ELL",595,6.4
"Farmington School District","=""0520011""","ELL",12,6.4
"Farmington School District","=""0520011""","Non-ELL",223,5.7
"Franklin School District","=""0530011""","Non-ELL",10,7.0
"Glastonbury School District","=""0540011""","ELL",16,10.6
"Glastonbury School District","=""0540011""","Non-ELL",246,4.4
"Granby School District","=""0560011""","ELL","*","*"
"Granby School District","=""0560011""","Non-ELL","*","*"
"Great Oaks Charter School District","=""2940013""","ELL",14,21.2
"Great Oaks Charter School District","=""2940013""","Non-ELL",70,15.8
"Greenwich School District","=""0570011""","ELL","*","*"
"Greenwich School District","=""0570011""","Non-ELL","*","*"
"Griswold School District","=""0580011""","ELL","*","*"
"Griswold School District","=""0580011""","Non-ELL","*","*"
"Groton School District","=""0590011""","ELL",36,21.4
"Groton School District","=""0590011""","Non-ELL",470,12.2
"Guilford School District","=""0600011""","ELL","*","*"
"Guilford School District","=""0600011""","Non-ELL","*","*"
"Hamden School District","=""0620011""","ELL",57,15.5
"Hamden School District","=""0620011""","Non-ELL",710,14.3
"Hampton School District","=""0630011""","Non-ELL",9,11.8
"Hartford School District","=""0640011""","ELL",1275,31.5
"Hartford School District","=""0640011""","Non-ELL",3558,26.8
"Hartland School District","=""0650011""","ELL","*","*"
"Hartland School District","=""0650011""","Non-ELL","*","*"
"Hebron School District","=""0670011""","ELL","*","*"
"Hebron School District","=""0670011""","Non-ELL","*","*"
"Highville Charter School District","=""2860013""","ELL","*","*"
"Highville Charter School District","=""2860013""","Non-ELL","*","*"
"Integrated Day Charter School District","=""2640013""","ELL","*","*"
"Integrated Day Charter School District","=""2640013""","Non-ELL","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","ELL","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Non-ELL","*","*"
"Jumoke Academy District","=""2610013""","ELL",0,"*"
"Jumoke Academy District","=""2610013""","Non-ELL",96,"*"
"Kent School District","=""0680011""","ELL",0,"*"
"Kent School District","=""0680011""","Non-ELL",10,"*"
"Killingly School District","=""0690011""","ELL",11,18.6
"Killingly School District","=""0690011""","Non-ELL",326,14.4
"Learn","=""2450014""","ELL",44,17.7
"Learn","=""2450014""","Non-ELL",247,14.2
"Lebanon School District","=""0710011""","ELL","*","*"
"Lebanon School District","=""0710011""","Non-ELL","*","*"
"Ledyard School District","=""0720011""","ELL",6,16.2
"Ledyard School District","=""0720011""","Non-ELL",238,10.3
"Lisbon School District","=""0730011""","ELL",0,"*"
"Lisbon School District","=""0730011""","Non-ELL",17,"*"
"Litchfield School District","=""0740011""","ELL",0,"*"
"Litchfield School District","=""0740011""","Non-ELL",62,"*"
"Madison School District","=""0760011""","ELL","*","*"
"Madison School District","=""0760011""","Non-ELL","*","*"
"Manchester School District","=""0770011""","ELL",123,27.0
"Manchester School District","=""0770011""","Non-ELL",1034,18.6
"Mansfield School District","=""0780011""","ELL","*","*"
"Mansfield School District","=""0780011""","Non-ELL","*","*"
"Marlborough School District","=""0790011""","ELL","*","*"
"Marlborough School District","=""0790011""","Non-ELL","*","*"
"Meriden School District","=""0800011""","ELL",213,15.3
"Meriden School District","=""0800011""","Non-ELL",882,13.2
"Middletown School District","=""0830011""","ELL",30,16.4
"Middletown School District","=""0830011""","Non-ELL",542,12.6
"Milford School District","=""0840011""","ELL",26,16.8
"Milford School District","=""0840011""","Non-ELL",497,9.5
"Monroe School District","=""0850011""","ELL","*","*"
"Monroe School District","=""0850011""","Non-ELL","*","*"
"Montville School District","=""0860011""","ELL",9,8.9
"Montville School District","=""0860011""","Non-ELL",168,8.8
"Naugatuck School District","=""0880011""","ELL",43,12.8
"Naugatuck School District","=""0880011""","Non-ELL",627,15.9
"New Beginnings Inc Family Academy District","=""2800013""","ELL",0,"*"
"New Beginnings Inc Family Academy District","=""2800013""","Non-ELL",61,"*"
"New Britain School District","=""0890011""","ELL",508,28.5
"New Britain School District","=""0890011""","Non-ELL",1765,22.2
"New Canaan School District","=""0900011""","ELL","*","*"
"New Canaan School District","=""0900011""","Non-ELL","*","*"
"New Fairfield School District","=""0910011""","ELL",16,18.6
"New Fairfield School District","=""0910011""","Non-ELL",221,10.9
"New Hartford School District","=""0920011""","ELL",0,"*"
"New Hartford School District","=""0920011""","Non-ELL",16,"*"
"New Haven School District","=""0930011""","ELL",642,17.3
"New Haven School District","=""0930011""","Non-ELL",3425,22.0
"New London School District","=""0950011""","ELL",152,18.4
"New London School District","=""0950011""","Non-ELL",367,14.4
"New Milford School District","=""0960011""","ELL",29,14.9
"New Milford School District","=""0960011""","Non-ELL",356,9.8
"Newington School District","=""0940011""","ELL",27,10.5
"Newington School District","=""0940011""","Non-ELL",284,7.7
"Newtown School District","=""0970011""","ELL","*","*"
"Newtown School District","=""0970011""","Non-ELL","*","*"
"Norfolk School District","=""0980011""","ELL",0,"*"
"Norfolk School District","=""0980011""","Non-ELL","*","*"
"North Branford School District","=""0990011""","ELL","*","*"
"North Branford School District","=""0990011""","Non-ELL","*","*"
"North Canaan School District","=""1000011""","ELL",0,"*"
"North Canaan School District","=""1000011""","Non-ELL",27,"*"
"North Haven School District","=""1010011""","ELL","*","*"
"North Haven School District","=""1010011""","Non-ELL","*","*"
"North Stonington School District","=""1020011""","Non-ELL",69,9.8
"Norwalk School District","=""1030011""","ELL",343,15.9
"Norwalk School District","=""1030011""","Non-ELL",1079,11.5
"Norwich Free Academy District","=""9010022""","ELL",58,26.0
"Norwich Free Academy District","=""9010022""","Non-ELL",422,20.7
"Norwich School District","=""1040011""","ELL",77,11.6
"Norwich School District","=""1040011""","Non-ELL",365,13.9
"Odyssey Community School District","=""2630013""","ELL","*","*"
"Odyssey Community School District","=""2630013""","Non-ELL","*","*"
"Old Saybrook School District","=""1060011""","ELL","*","*"
"Old Saybrook School District","=""1060011""","Non-ELL","*","*"
"Orange School District","=""1070011""","ELL",6,8.0
"Orange School District","=""1070011""","Non-ELL",63,5.6
"Oxford School District","=""1080011""","ELL","*","*"
"Oxford School District","=""1080011""","Non-ELL","*","*"
"Park City Prep Charter School District","=""2830013""","ELL","*","*"
"Park City Prep Charter School District","=""2830013""","Non-ELL","*","*"
"Plainfield School District","=""1090011""","ELL",9,24.3
"Plainfield School District","=""1090011""","Non-ELL",320,16.1
"Plainville School District","=""1100011""","ELL",10,6.0
"Plainville School District","=""1100011""","Non-ELL",234,11.2
"Plymouth School District","=""1110011""","ELL","*","*"
"Plymouth School District","=""1110011""","Non-ELL","*","*"
"Pomfret School District","=""1120011""","Non-ELL",25,6.8
"Portland School District","=""1130011""","ELL","*","*"
"Portland School District","=""1130011""","Non-ELL","*","*"
"Preston School District","=""1140011""","ELL","*","*"
"Preston School District","=""1140011""","Non-ELL","*","*"
"Putnam School District","=""1160011""","ELL",8,18.2
"Putnam School District","=""1160011""","Non-ELL",146,14.2
"Redding School District","=""1170011""","ELL","*","*"
"Redding School District","=""1170011""","Non-ELL","*","*"
"Regional School District 01","=""2010012""","ELL","*","*"
"Regional School District 01","=""2010012""","Non-ELL","*","*"
"Regional School District 04","=""2040012""","ELL",0,"*"
"Regional School District 04","=""2040012""","Non-ELL",97,"*"
"Regional School District 05","=""2050012""","ELL","*","*"
"Regional School District 05","=""2050012""","Non-ELL","*","*"
"Regional School District 06","=""2060012""","ELL","*","*"
"Regional School District 06","=""2060012""","Non-ELL","*","*"
"Regional School District 07","=""2070012""","ELL",0,"*"
"Regional School District 07","=""2070012""","Non-ELL",112,"*"
"Regional School District 08","=""2080012""","ELL","*","*"
"Regional School District 08","=""2080012""","Non-ELL","*","*"
"Regional School District 09","=""2090012""","ELL",0,"*"
"Regional School District 09","=""2090012""","Non-ELL",67,"*"
"Regional School District 10","=""2100012""","ELL","*","*"
"Regional School District 10","=""2100012""","Non-ELL","*","*"
"Regional School District 11","=""2110012""","ELL","*","*"
"Regional School District 11","=""2110012""","Non-ELL","*","*"
"Regional School District 12","=""2120012""","ELL",0,"*"
"Regional School District 12","=""2120012""","Non-ELL",81,"*"
"Regional School District 13","=""2130012""","ELL","*","*"
"Regional School District 13","=""2130012""","Non-ELL","*","*"
"Regional School District 14","=""2140012""","ELL","*","*"
"Regional School District 14","=""2140012""","Non-ELL","*","*"
"Regional School District 15","=""2150012""","ELL","*","*"
"Regional School District 15","=""2150012""","Non-ELL","*","*"
"Regional School District 16","=""2160012""","ELL",7,17.5
"Regional School District 16","=""2160012""","Non-ELL",100,5.0
"Regional School District 17","=""2170012""","ELL","*","*"
"Regional School District 17","=""2170012""","Non-ELL","*","*"
"Regional School District 18","=""2180012""","ELL","*","*"
"Regional School District 18","=""2180012""","Non-ELL","*","*"
"Regional School District 19","=""2190012""","ELL",0,"*"
"Regional School District 19","=""2190012""","Non-ELL",55,"*"
"Ridgefield School District","=""1180011""","ELL",7,11.5
"Ridgefield School District","=""1180011""","Non-ELL",389,8.5
"Rocky Hill School District","=""1190011""","ELL",11,5.1
"Rocky Hill School District","=""1190011""","Non-ELL",171,7.1
"Salem School District","=""1210011""","ELL","*","*"
"Salem School District","=""1210011""","Non-ELL","*","*"
"Salisbury School District","=""1220011""","ELL",0,"*"
"Salisbury School District","=""1220011""","Non-ELL",21,"*"
"Scotland School District","=""1230011""","Non-ELL","*","*"
"Seymour School District","=""1240011""","ELL",9,10.6
"Seymour School District","=""1240011""","Non-ELL",218,10.4
"Sharon School District","=""1250011""","ELL",0,"*"
"Sharon School District","=""1250011""","Non-ELL","*","*"
"Shelton School District","=""1260011""","ELL",25,9.6
"Shelton School District","=""1260011""","Non-ELL",463,10.7
"Sherman School District","=""1270011""","ELL",0,"*"
"Sherman School District","=""1270011""","Non-ELL",24,"*"
"Side By Side Charter School District","=""2700013""","ELL","*","*"
"Side By Side Charter School District","=""2700013""","Non-ELL","*","*"
"Simsbury School District","=""1280011""","ELL",6,7.5
"Simsbury School District","=""1280011""","Non-ELL",251,6.3
"Somers School District","=""1290011""","ELL","*","*"
"Somers School District","=""1290011""","Non-ELL","*","*"
"South Windsor School District","=""1320011""","ELL",41,12.7
"South Windsor School District","=""1320011""","Non-ELL",311,7.4
"Southington School District","=""1310011""","ELL",15,11.1
"Southington School District","=""1310011""","Non-ELL",507,8.3
"Sprague School District","=""1330011""","ELL","*","*"
"Sprague School District","=""1330011""","Non-ELL","*","*"
"Stafford School District","=""1340011""","ELL","*","*"
"Stafford School District","=""1340011""","Non-ELL","*","*"
"Stamford Academy District","=""2820013""","ELL",14,"*"
"Stamford Academy District","=""2820013""","Non-ELL",74,"*"
"Stamford Charter School for Excellence District","=""2960013""","ELL","*","*"
"Stamford Charter School for Excellence District","=""2960013""","Non-ELL","*","*"
"Stamford School District","=""1350011""","ELL",460,18.8
"Stamford School District","=""1350011""","Non-ELL",1816,13.1
"State Level","=""0000000""","ELL",7806,17.2
"State Level","=""0000000""","Non-ELL",54384,11.7
"Sterling School District","=""1360011""","Non-ELL",62,19.1
"Stonington School District","=""1370011""","ELL","*","*"
"Stonington School District","=""1370011""","Non-ELL","*","*"
"Stratford School District","=""1380011""","ELL",67,14.2
"Stratford School District","=""1380011""","Non-ELL",870,14.0
"Suffield School District","=""1390011""","ELL",9,20.5
"Suffield School District","=""1390011""","Non-ELL",213,10.5
"The Bridge Academy District","=""2690013""","ELL","*","*"
"The Bridge Academy District","=""2690013""","Non-ELL","*","*"
"The Gilbert School District","=""9020022""","ELL","*","*"
"The Gilbert School District","=""9020022""","Non-ELL","*","*"
"The Woodstock Academy District","=""9030022""","ELL",0,"*"
"The Woodstock Academy District","=""9030022""","Non-ELL",119,"*"
"Thomaston School District","=""1400011""","ELL",0,"*"
"Thomaston School District","=""1400011""","Non-ELL",58,"*"
"Thompson School District","=""1410011""","ELL","*","*"
"Thompson School District","=""1410011""","Non-ELL","*","*"
"Tolland School District","=""1420011""","ELL","*","*"
"Tolland School District","=""1420011""","Non-ELL","*","*"
"Torrington School District","=""1430011""","ELL",47,11.6
"Torrington School District","=""1430011""","Non-ELL",512,15.0
"Trumbull School District","=""1440011""","ELL",28,11.3
"Trumbull School District","=""1440011""","Non-ELL",361,5.7
"Unified School District #1","=""3360015""","ELL",0,"*"
"Unified School District #1","=""3360015""","Non-ELL",21,"*"
"Unified School District #2","=""3470015""","ELL","*","*"
"Unified School District #2","=""3470015""","Non-ELL","*","*"
"Union School District","=""1450011""","Non-ELL","*","*"
"Vernon School District","=""1460011""","ELL",9,7.3
"Vernon School District","=""1460011""","Non-ELL",270,9.3
"Voluntown School District","=""1470011""","Non-ELL",17,7.7
"Wallingford School District","=""1480011""","ELL",43,12.8
"Wallingford School District","=""1480011""","Non-ELL",434,8.4
"Waterbury School District","=""1510011""","ELL",693,22.7
"Waterbury School District","=""1510011""","Non-ELL",3090,20.7
"Waterford School District","=""1520011""","ELL",10,12.8
"Waterford School District","=""1520011""","Non-ELL",211,9.0
"Watertown School District","=""1530011""","ELL",11,8.5
"Watertown School District","=""1530011""","Non-ELL",260,10.3
"West Hartford School District","=""1550011""","ELL",98,15.1
"West Hartford School District","=""1550011""","Non-ELL",663,7.7
"West Haven School District","=""1560011""","ELL",93,10.3
"West Haven School District","=""1560011""","Non-ELL",763,15.6
"Westbrook School District","=""1540011""","ELL",9,11.0
"Westbrook School District","=""1540011""","Non-ELL",47,8.7
"Weston School District","=""1570011""","ELL","*","*"
"Weston School District","=""1570011""","Non-ELL","*","*"
"Westport School District","=""1580011""","ELL",6,8.1
"Westport School District","=""1580011""","Non-ELL",436,8.4
"Wethersfield School District","=""1590011""","ELL",34,9.4
"Wethersfield School District","=""1590011""","Non-ELL",179,5.6
"Willington School District","=""1600011""","ELL","*","*"
"Willington School District","=""1600011""","Non-ELL","*","*"
"Wilton School District","=""1610011""","ELL",6,17.6
"Wilton School District","=""1610011""","Non-ELL",164,4.3
"Winchester School District","=""1620011""","ELL","*","*"
"Winchester School District","=""1620011""","Non-ELL","*","*"
"Windham School District","=""1630011""","ELL",178,18.9
"Windham School District","=""1630011""","Non-ELL",362,17.1
"Windsor Locks School District","=""1650011""","ELL",11,12.2
"Windsor Locks School District","=""1650011""","Non-ELL",189,13.3
"Windsor School District","=""1640011""","ELL",23,18.0
"Windsor School District","=""1640011""","Non-ELL",309,9.9
"Wolcott School District","=""1660011""","ELL","*","*"
"Wolcott School District","=""1660011""","Non-ELL","*","*"
"Woodbridge School District","=""1670011""","ELL","*","*"
"Woodbridge School District","=""1670011""","Non-ELL","*","*"
"Woodstock School District","=""1690011""","ELL","*","*"
"Woodstock School District","=""1690011""","Non-ELL","*","*"

